"","neighborhood","building_class_category","tax_class_at_present","building_class_at_present","residential_units","commercial_units","total_units","land_square_feet","gross_square_feet","year_built","tax_class_at_time_of_sale","building_class_at_time_of_sale","sale_price","sale_date","latitude","longitude"
"1","ALPHABET CITY","01 ONE FAMILY DWELLINGS","1","A4",1,0,1,2116,4400,1900,"1","A4",399000,2022-09-29,40.72167,-73.97831
"2","ALPHABET CITY","02 TWO FAMILY DWELLINGS","1","S2",2,1,3,1502,2790,1901,"1","S2",2999999,2022-09-15,40.72421,-73.97849
"3","ALPHABET CITY","02 TWO FAMILY DWELLINGS","1","B1",2,0,2,882,2160,2003,"1","B1",3025000,2021-12-16,40.72409,-73.97843
"4","ALPHABET CITY","07 RENTALS - WALKUP APARTMENTS","2B","C1",10,0,10,2204,8625,1899,"2","C1",16800000,2022-08-04,40.72175,-73.97934
"5","ALPHABET CITY","07 RENTALS - WALKUP APARTMENTS","2B","C1",10,0,10,2204,8625,1900,"2","C1",16800000,2022-08-04,40.72163,-73.97923
"6","ALPHABET CITY","07 RENTALS - WALKUP APARTMENTS","2","C4",20,0,20,2302,9750,1900,"2","C4",158822,2022-09-27,40.72322,-73.97823
"7","ALPHABET CITY","07 RENTALS - WALKUP APARTMENTS","2B","C7",7,1,8,4337,14347,1920,"2","C7",1635000,2022-08-05,40.72507,-73.97612
"8","ALPHABET CITY","07 RENTALS - WALKUP APARTMENTS","2B","C4",10,0,10,2271,6985,1900,"2","C4",5250000,2022-06-16,40.72397,-73.98003
"9","ALPHABET CITY","07 RENTALS - WALKUP APARTMENTS","2B","C4",10,0,10,2248,6985,1910,"2","C4",5650000,2022-03-30,40.72402,-73.98018
"10","ALPHABET CITY","07 RENTALS - WALKUP APARTMENTS","2","C1",29,0,29,3900,18099,1900,"2","C1",235251,2022-06-22,40.72468,-73.97986
"11","ALPHABET CITY","07 RENTALS - WALKUP APARTMENTS","2","C7",10,1,11,1600,5320,1910,"2","C7",10,2022-01-13,40.72485,-73.98024
"12","ALPHABET CITY","07 RENTALS - WALKUP APARTMENTS","2","C7",25,5,30,3839,18836,1900,"2","C7",11600000,2022-01-31,40.72546,-73.97805
"13","ALPHABET CITY","07 RENTALS - WALKUP APARTMENTS","2B","C7",8,2,10,1920,7485,1920,"2","C7",21919,2022-05-04,40.72618,-73.97761
"14","ALPHABET CITY","07 RENTALS - WALKUP APARTMENTS","2","C4",20,0,20,2778,10740,1920,"2","C4",11800000,2022-06-09,40.72842,-73.97651
"15","ALPHABET CITY","07 RENTALS - WALKUP APARTMENTS","2","C4",20,0,20,2831,10900,1920,"2","C4",11800000,2022-06-09,40.72851,-73.97633
"16","ALPHABET CITY","07 RENTALS - WALKUP APARTMENTS","2B","C4",8,0,8,1859,5340,1900,"2","C4",4500000,2021-11-22,40.72416,-73.9832
"17","ALPHABET CITY","07 RENTALS - WALKUP APARTMENTS","2","C4",14,0,14,2271,6794,1900,"2","C4",2.2e+07,2022-08-23,40.72532,-73.98211
"18","ALPHABET CITY","07 RENTALS - WALKUP APARTMENTS","2B","C4",9,1,10,1817,6162,1900,"2","C4",11500000,2021-12-10,40.72527,-73.98204
"19","ALPHABET CITY","07 RENTALS - WALKUP APARTMENTS","2B","C4",9,0,9,1817,6150,1900,"2","C4",11500000,2021-12-10,40.72522,-73.982
"20","ALPHABET CITY","07 RENTALS - WALKUP APARTMENTS","2B","C4",10,0,10,2271,7229,1900,"2","C4",999000,2022-02-18,40.72512,-73.98275
"21","ALPHABET CITY","07 RENTALS - WALKUP APARTMENTS","2B","C4",10,0,10,2272,7295,1920,"2","C4",8700000,2022-01-25,40.72514,-73.98284
"22","ALPHABET CITY","07 RENTALS - WALKUP APARTMENTS","2A","C2",5,0,5,1520,3779,1900,"2","C2",4185000,2021-12-16,40.72812,-73.98152
"23","ALPHABET CITY","07 RENTALS - WALKUP APARTMENTS","2A","C4",4,1,5,1810,4280,1930,"2","C4",8430003,2022-06-24,40.72793,-73.97936
"24","ALPHABET CITY","07 RENTALS - WALKUP APARTMENTS","2B","C4",8,2,10,2715,7340,1930,"2","C4",8430003,2022-06-24,40.72786,-73.97941
"25","ALPHABET CITY","08 RENTALS - ELEVATOR APARTMENTS","2B","D7",8,1,9,2212,9660,1900,"2","D7",6500000,2021-11-10,40.72254,-73.98228
"26","ALPHABET CITY","08 RENTALS - ELEVATOR APARTMENTS","2","D7",42,3,45,6412,28620,1910,"2","D7",2e+07,2021-12-31,40.72678,-73.97708
